,BSSH_NM,ADDR,HG_ASGN_LV
194,60계치킨대구금호지구점,대구광역시 북구 한강로6길 6(1층 사수동),우수
195,카페베즐리(CAFE VEZZLY),충청남도 아산시 인주면 현대로 1077(인주면 금성리 123 공장현대자동차주 2동엔진자동창고 세타식당 2층),매우우수
196,일상담미한남점,"서울특별시 용산구 한남대로 91(지2층 007호 한남동, 나인원 한남)",매우우수
197,빽다방 고양신원당점,경기도 고양시 덕양구 고양대로1384번길 7-5(서강프라자 106호 성사동),매우우수
198,지에스25두정역길점,충청남도 천안시 서북구 두정역길 5(1층 두정동),매우우수
199,비에이치씨(BHC)이촌점,서울특별시 용산구 이촌로14길 11-6(1동 1층 102호 이촌동),매우우수
200,미슐랭온더테이블,강원도 춘천시 효자로150번길 10-1(효자동),매우우수
201,이디야커피 영남대점,경상북도 경산시 청운로 18(대동),우수
202,교촌치킨,"경기도 수원시 팔달구 중부대로239번길 5(103호 우만동, 우만동R타워)",매우우수
203,BBQ치킨서구점,"대구광역시 서구 국채보상로 316(202동 106호 평리동,평리롯데캐슬상가)",좋음
204,(주)경인석유고속도로외동(상)휴게소 한식당,경상북도 경주시 외동읍 상석길 58-70,매우우수
205,가마치통닭 일광점,부산광역시 기장군 일광면 해빛로 39-15(116상가동 105호 일광 자이 푸르지오 1단지),매우우수
206,베질루르스위트갤러리,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛기흥점 주건축물제1동 1층일부 고매동),매우우수
207,만석장 롯데프리미엄아울렛기흥점,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛기흥점 주건축물제1동 2층일부 고매동),매우우수
208,그랜드머큐어(A동)이그제큐티브라운지,"서울특별시 용산구 청파로20길 95(3층 한강로3가, 서울드래곤시티)",매우우수
209,(주)보림로지스틱스죽암 델리만쥬(호두과자),충청북도 청주시 서원구 현도면 경부고속도로 290(죽암휴게소 서울종점 1층),매우우수
210,파스쿠찌 천호로데오점,서울특별시 강동구 구천면로 212(1층 천호동),매우우수
211,노보텔 알라메종델리,"서울특별시 용산구 청파로20길 95(1층 한강로3가, 서울드래곤시티)",매우우수
212,60계치킨 미아점,"서울특별시 강북구 삼양로27길 95(상가동 지하2층 109호 미아동, 두산위브트레지움아파트)",매우우수
213,싸움의고수 영등포빅마켓점,서울특별시 영등포구 영중로 125(롯데마트 2층 4호 영등포동8가),매우우수
214,콘타이,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛 기흥점 주건축물 제1동 2층 일부호 고매동),매우우수
215,(주)보림로지스틱스 죽암(오징어 외),충청북도 청주시 서원구 현도면 경부고속도로 290(죽암휴게소 서울종점 1층),매우우수
216,60계치킨영등점,"전라북도 익산시 무왕로13길 25(519동 1층 110호 영등동, 영등3차제일아파트상가)",매우우수
217,1930 사랑채 카페,전라남도 신안군 암태면 박달로 362-28,매우우수
218,베스킨라빈스 미아역점,"서울특별시 강북구 도봉로 193(미아동,도봉로193)",매우우수
219,버거킹 충남도청점,"충청남도 홍성군 홍북읍 청사로174번길 2(1,2층)",우수
220,노보텔스위트 메가바이트,"서울특별시 용산구 청파로20길 95(1층 한강로3가, 서울드래곤시티)",매우우수
221,버거킹 목동이마트점,"서울특별시 양천구 오목로 299(지하2층 목동, 트라팰리스이마트목동점)",매우우수
222,벌크커피 상무중앙점,광주광역시 서구 상무평화로 79(팔복빌딩 1층 치평동),매우우수
223,알로이팟타이,서울특별시 영등포구 영중로 125(롯데마트 2층 5호 영등포동8가),매우우수
